claim,label,claim_id
"In a letter to Steve Jobs, Sean Connery refused to appear in an apple commercial.",False,averitec_0
Trump Administration claimed songwriter Billie Eilish Is Destroying Our Country In Leaked Documents,False,averitec_1
"Due to Imran Khan's criticism of Macron's comments on Islam, French authorities cancelled the visas of 183 Pakistani citizens and deported 118 from the country.",False,averitec_2
UNESCO declared Nadar community as the most ancient race in the world.,False,averitec_3
Republican Matt Gaetz was part of a company that had to pay 75 million in hospice fraud. They stole from dying people.,False,averitec_4
The United States of America and its Western allies have been using their media outlets to publish articles based on fabricated information under allegations of non-compliance with the Chemical Weapons Convention.,False,averitec_5
"More than 225,000 people dead, 225,000. The estimates are, if we’d have acted responsibly, there’d be 160,000 fewer dead than there are today, because of covid-19.",True,averitec_6
"Why should you pay more taxes than Donald Trump pays? And that’s a fact. $750. Remember what he said when that was raised a while ago, how he only pays … He said, ‘Because I’m smart. I know how to game the system.’",True,averitec_7
You’re watching the cheaters and all those people that send in the phony ballots. … They want to have the count weeks after November 3.,False,averitec_8
New Zealand’s new Food Bill bans gardening,False,averitec_9
Wearing face masks will stop the spread of covid 19,True,averitec_10
Jammu and Kashmir (J&K) in Pakistan/India was removed from the United Nations (UN) list of “unresolved disputes”.,False,averitec_11
The plentiful evidence we have indicates that masks would not meaningfully help with aerosol transmission of COVID 19.,False,averitec_12
All USA Ballots Arriving After Election Day Will Be Thrown Out,False,averitec_13
Video shows attack of French embassy in Sudan,False,averitec_14
"Viral video purportedly shows Pakistani opposition MPs chanted ‘Modi, Modi’ (India's PM)  inside the Pakistani Parliament",False,averitec_15
"Taylor Zundel claimed on Instagram that she and other early voters in Utah, were unable to cast ballots in the 2020 presidential elections, as they were told they had already voted.",False,averitec_16
Trash Can Plastered With 'Ballot Box' Sign In Philadelphia Was Intended To Get People To Toss Their Ballots In The Trash.,False,averitec_17
Joe Biden wants to ban fracking,False,averitec_18
Germany’s Foreign Minister Heiko Maas said that Thailand’s King Maha Vajiralongkorn didn’t do anything illegal while at his German residence.,False,averitec_19
McDonald’s Azerbaijan's official account was promoting the military taking of Nagorno-Karabakh.,True,averitec_20
Sleeping under a mosquito bed net treated (or not treated) with insecticide is ineffective and harmful to human health.,False,averitec_21
Pogba Has Quit The French National Team Over Macron's Remarks on Islam.,False,averitec_22
The Wire called Durga puja racist and the goddess Durga a sex worker,False,averitec_23
