claim_id,claim,label
fe_0,"The United States has the highest number of nuclear power plants in the world, with 94 operating reactors. Other countries with a significant number of nuclear power plants include France, China, Russia, and South Korea.",False
fe_1,"As an AI language model, I cannot make subjective statements or predictions about the success or failure of a particular aircraft. However, it is worth noting that the Sukhoi Su-57 has faced some challenges in its development, including delays and budget constraints. Additionally, there are concerns about the aircraft's engine and stealth capabilities. Ultimately, the success of the Su-57 will depend on a variety of factors, including its performance in combat situations and its ability to meet the needs of the Russian military.",True
fe_2,"The ""noses"" at the front of American locomotives are called ""cowcatchers"" or ""pilot"" and they were originally designed to clear debris from the tracks, such as animals or fallen branches. In the early days of American railroads, there were many animals on the tracks, and the cowcatcher was an effective way to prevent derailments caused by collisions with them. 




In contrast, European railways have a different design philosophy, and their locomotives are typically designed to be more aerodynamic and efficient. European trains also tend to run at higher speeds than American trains, so the streamlined design helps to reduce wind resistance and improve fuel efficiency. 




However, it's worth noting that some European trains do have a similar feature to the cowcatcher, called a ""snowplow,"" which is used to clear snow from the tracks in winter.",True
fe_3,"NATO does not officially name Russian military aircraft. However, it is common for NATO to assign reporting names to foreign military aircraft for identification purposes. The Su-57 has not been assigned an official NATO reporting name yet. ""Felon"" is a name that has been used by some Western media outlets and defense analysts to refer to the Su-57, but it is not an official NATO designation. The reason behind this name is not clear, but it may be related to the aircraft's advanced stealth capabilities and its potential threat to Western air superiority.",False
fe_4,"Yes, atheists can get insurance policies that cover acts of God. The term ""act of God"" is a legal term used by insurance companies to describe natural disasters or other events that are beyond human control, such as earthquakes, hurricanes, and floods. These events are typically covered by insurance policies, regardless of the policyholder's religious beliefs.",True
fe_5,"""Veins appear blue because of the way light passes through human skin. Blood in the body contains hemoglobin, which is a protein that gives blood its red color. As blood circulates through the body, it carries oxygen and nutrients to the tissues and organs. The oxygen-poor blood then returns to the heart through the veins.\n\nWhen light enters the skin, it penetrates into the layers of tissue and is absorbed or scattered by the various structures within. Because blue light has a shorter wavelength than red light, it is scattered more easily and penetrates deeper into the tissue. As a result, more blue light is absorbed than red light, making the veins appear blue.\n\nHowever, it is important to note that veins are not actually blue, but rather a dark shade of red or purple. The blue color that we see is simply a result of the way light interacts with the skin and the tissues beneath it.""",False
fe_6,"If someone marries their mother's daughter-in-law, it means that they have married either their own spouse's sister or their own spouse's mother. \n\nIf the person's spouse has a sister and that sister ends up marrying the person, then the person and his mother-in-law would both be related by marriage. In this case, the relationship is not biologically incestuous, but still, it could cause some confusion.\n\nOn the other hand, if the person's spouse is deceased, and they remarry their spouse's mother, then it is referred to as a \levirate marriage\"". Such marriages were practiced in some cultures in ancient times where the brother of a deceased man was allowed to marry his brother's wife to produce children to carry on the deceased brother's family name.\n\nIt is worth noting that in some cultures, marrying a deceased spouse's family member, including their mother, is considered taboo and frowned upon. However, in some other cultures, it's accepted and even encouraged.""",False
fe_7,"The word that doesn't belong with the others is \Yard\"". The other options - inch, centimeter, and kilogram - are all units of measurement for length or weight/mass, whereas \""Yard\"" is a unit of measurement for distance, which is not the same as length.""",False
fe_8,"In 1973, it was not illegal for black people to attend the University of Alabama or any other university based on their race. In fact, several years earlier in 1963, black students Vivian Malone and James Hood had successfully integrated the University of Alabama after defying Governor George Wallace's infamous stand in the schoolhouse door. However, racial discrimination and segregation still existed in various forms within the university system, including a lack of access to certain programs and facilities or unequal treatment in admissions and financial aid.\n\nIt is possible that there were specific instances in 1973 where individual black students were denied access to certain programs or faced discrimination in other ways, but this would not have been the result of a specific law or widespread legal prohibition. It is important to note that although the Civil Rights Act of 1964 had outlawed discrimination based on race, color, religion, sex, or national origin in any federally funded public facility, including universities, the fight for true equality and justice for black students at universities continued beyond this landmark legislation.",True
fe_9,"It is important to note that this information needs to be fact-checked as it is not entirely accurate. The University of Alabama had been desegregated since 1963 when two African American students were admitted under the protection of federal court order. In 1984, it was not illegal for black people to attend the University of Alabama. However, racial tensions and discrimination continued to persist on campus, as well as in the surrounding city of Tuscaloosa. It is possible that there were incidents of racist behavior and discrimination towards black students during this time period.",True
fe_10,"The CEO of Twitter at the time of writing this answer is Jack Dorsey. He co-founded Twitter in 2006 and served as the CEO until 2008, and returned as CEO in 2015. Dorsey is also the CEO and co-founder of Square, a financial services and mobile payment company. He has been recognized as one of Time magazine's 100 most influential people in the world and has also been awarded the Innovator of the Year Award by Wall Street Journal.",False
fe_11,"Paige Pierce won the world championship in 2011, 2013, 2015, 2017, and 2019. Paul McBeth won the world championship in 2012, 2013, 2014, 2015, and 2019. So they both won the world championship in 2015 and 2019.",False
fe_12,"No, Jupiter is less dense than Saturn. Jupiter has a density of 1.33 grams per cubic centimeter, while Saturn has a density of 0.69 grams per cubic centimeter. This is because Jupiter is mostly made up of gas, while Saturn has a larger proportion of solid materials in its composition.",False
fe_13,"Shakespeare's Sonnet 129 is a poem that explores the theme of lust and its destructive power. The speaker describes the experience of being consumed by lust, which he compares to a disease that infects the mind and body. He suggests that lust is a force that can overpower reason and morality, leading to shame and guilt.




The sonnet begins with the speaker describing the physical sensations of lust, which he compares to a fever that burns within him. He then goes on to describe the mental effects of lust, which he suggests can lead to madness and despair. The speaker acknowledges that he knows that his desires are wrong, but he is unable to resist them.




In the final couplet, the speaker reflects on the destructive power of lust, suggesting that it can lead to the loss of one's soul. He concludes by stating that he would rather die than continue to be consumed by his lustful desires.




Overall, Sonnet 129 is a powerful exploration of the destructive power of lust and the struggle to resist its temptations.",False
fe_14,"No, Sacramento has been the capital of California since 1854. Monterey was the capital of California under Spanish and Mexican rule, but it was never the capital of California after it became a state in 1850.",False
fe_15,"There is no reason to be worried about the fact that New Year's Day 2023 falls on a Friday the 13th. Friday the 13th is a superstition that has been associated with bad luck for centuries, but it is ultimately just a cultural belief and has no real impact on events or circumstances. The date of New Year's Day is determined by the calendar, and it has no relation to superstitions or beliefs about luck. There is no evidence to suggest that there is anything inherently unlucky about the combination of Friday the 13th and New Year's Day, and you can celebrate the new year as you normally would without any concerns.",False
fe_16,"Yes, it is true that New Year's Day 2023 falls on a Friday the 13th. The first day of the year 2023 will be Friday, January 13th. This is not unusual, as dates and days of the week are determined by the Gregorian calendar, which has a set pattern of repeating itself every seven days. There is no scientific or logical reason to believe that this date is any more unlucky or unfortunate than any other day of the year. While some people may choose to avoid certain activities on Friday the 13th out of superstition, it is important to remember that this is just a belief and that it is not based on any evidence or facts.",False
fe_17,"New Year's Eve 2022 is on Thursday, December 29th. New Year's Eve is the last day of the year and is traditionally celebrated with parties and other festivities. Many people stay up late to watch the clock strike midnight and to welcome in the new year. The celebration of New Year's Eve dates back to ancient times, and it has been a popular holiday in many cultures for centuries. In some countries, New Year's Eve is a public holiday, while in others it is a more low-key affair. Regardless of how it is celebrated, New Year's Eve is an opportunity to reflect on the past year and to look forward to the year ahead.",False
fe_18,"""Kabura"" does not have a meaning in Polish. It is not a Polish word.",False
fe_19,"The word ""hoister"" can be translated to Polish as ""podnośnik"".",True
