claim_id,claim,label
bi_0,The cost of making Pirates of the Caribbean: On Stranger Tides (2011) was $376.5 million after a tax credit.,False
bi_1,"Teams need to have well-defined roles, responsibilities, norms, and processes that facilitate coordination and communication.",True
bi_2,Lighting bonfires on the eve of Holi symbolizes the triumph of good over evil and the purification of negative energies.,True
bi_3,"Reading other writers' works can challenge, motivate, or inspire you to get the words out.",True
bi_4,"Enabling technology solutions that support communication, productivity, and well-being is an effective way to promote mental wellness and prevent burnout.",True
bi_5,"After a vaccine is approved by the FDA, it goes through a separate process to determine if it should be recommended for use in the general public or in specific groups of people, led by CDC’s Advisory Committee on Immunization Practices (ACIP).",True
bi_6,"Hurling was outlawed by the Normans in the 12th century, but it survived and even flourished in some areas, especially in Munster.",True
bi_7,Supermassive black holes can be up to 50 billion times the mass of the Sun.,False
bi_8,"Ocean energy can be produced in various forms such as wave power (e.g., buoys), tidal power (e.g., turbines), ocean thermal energy conversion (OTEC), or salinity gradient power.",True
bi_9,"Relaxation techniques such as deep breathing, meditation, mindfulness, or progressive muscle relaxation can help cope with stress.",True
bi_10,Memory recollection and familiarity is a possible explanation for déjà vu.,True
bi_11,"The Olympic Games have grown to become the world's largest sporting event, featuring thousands of athletes from over 200 nations and regions competing in various summer and winter sports.",True
bi_12,"According to the American Psychological Association, some common sources of work stress are low salaries, excessive workloads, lack of opportunities for growth or advancement, work that isn't engaging or challenging, lack of social support, not having enough control over job-related decisions, and conflicting demands or unclear performance expectations.",True
bi_13,Gene therapy is a promising field of medicine that aims to treat or cure genetic diseases by delivering corrected versions of faulty genes to the affected cells or tissues.,True
bi_14,Merit Ptah and Peseshet were female physicians who lived in ancient Egypt around 2700 BC and 2500 BC respectively.,False
bi_15,"Dolphins use toxic pufferfish to 'get high', passing them around in a pod and then floating near the surface, apparently mesmerised by their own reflections.",True
bi_16,Music can be harnessed to improve our mental well-being and reduce stress levels by listening to music that we find pleasurable and meaningful.,True
bi_17,The American Academy of Pediatrics recommends no more than two hours of screen time per day for adults.,False
bi_18,Breaking tasks into smaller steps can make them more manageable and boost motivation.,True
bi_19,Adopting green certification standards provides guidelines and recognition for events that meet certain environmental criteria.,True
bi_20,The fingerprints of a koala are so indistinguishable from humans that they have on occasion been confused at a crime scene.,True
bi_21,"Flamenco has also been influenced by musical traditions from the Caribbean, Latin America, and Europe.",True
bi_22,The Eiffel Tower was designed by Gustave Eiffel's company for the 1889 World's Fair in Paris to celebrate the centennial of the French Revolution and France's industrial power.,True
bi_23,"Implementing solutions for food waste reduction may require initial investment, training, or policy changes in restaurants.",True
bi_24,Transportation accounts for about 27% of total U.S. greenhouse gas emissions.,False
bi_25,"The construction of the Eiffel Tower took only two years (1887-1889) to erect the tower, which was made of more than 18,000 pieces of wrought iron and 2.5 million rivets.",True
bi_26,Choosing organic and local foods that are in season can reduce emissions from transporting food from far away.,False
bi_27,"Growing kelp, eelgrass, and other vegetation in the ocean can provide habitat, food, and oxygen for marine animals, as well as economic benefits for coastal communities.",True
bi_28,"Duodji crafts include clothing, hats, belts, jewelry, shoe bands, cups, knives, bags, needle cases, cheese forms, and harnesses.",True
bi_29,Each utensil in the Chinese tea ceremony has a specific function and aesthetic value.,True
bi_30,"Beethoven suffered from a severe form of tinnitus, which meant he heard a constant ringing in his ears, and an autopsy revealed he had a distended inner ear that had developed lesions over time.",True
bi_31,"The spacecraft will crash into a small moonlet orbiting a larger asteroid called Didymos in September 2023, measuring the change in its orbit.",False
bi_32,"Genetic editing technology can introduce unintended or harmful changes in DNA, such as off-target effects, mosaicism, or chromosomal abnormalities.",True
bi_33,"The deepest known area of the ocean is the Mariana Trench, which has a depth of 11 km.",False
bi_34,"A growth mindset is the belief that a person's capacities and talents can be improved over time through hard work, good strategies, and input from others.",True
