claim_id,claim,label
fc_0,"In 1980, the oldest justice on the United States Supreme Court was Justice William O. Douglas.",false
fc_1,"Justice William O. Douglas was born on October 16, 1898.",true
fc_2,Justice William O. Douglas served on the United States Supreme Court from 1939 until his retirement in 1975.,true
fc_3,"In 1980, Justice William O. Douglas was still alive.",false
fc_4,Justice William O. Douglas was the oldest serving justice on the United States Supreme Court in 1980.,false
fc_5,The United States has had two black presidents: Barack Obama and Donald Trump.,false
fc_6,Barack Obama served two terms from 2009 to 2017.,true
fc_7,Donald Trump served one term from 2017 to 2021.,true
fc_8,Barack Obama was the first black president in the history of the United States.,true
fc_9,"Barack Obama was born in Honolulu, Hawaii.",true
fc_10,Barack Obama's mother was from Kansas.,true
fc_11,Barack Obama's father was from Kenya.,true
fc_12,Donald Trump was the second black president.,false
fc_13,Donald Trump was born in New York City.,true
fc_14,Donald Trump previously served as a businessman.,true
fc_15,Donald Trump previously served as a reality television personality.,true
fc_16,There has already been a female President of the United States: Hillary Clinton.,false
fc_17,Hillary Clinton served as the 45th President of the United States from 2017 to 2021.,false
fc_18,There has already been a female president of the United States.,false
fc_19,"In 2021, Kamala Harris was inaugurated as the first woman to hold the office of the US president.",false
fc_20,There have been only four female presidents of the United States in the country's history.,false
fc_21,Abigail Adams (1797-1801) was a female president of the United States.,false
fc_22,Marilyn Carlson Nelson (2009-2013) was a female president of the United States.,false
fc_23,Luci Baines Johnson (1973-1977) was a female president of the United States.,false
fc_24,Hillary Clinton (2017-2021) was a female president of the United States.,false
fc_25,Abacus computing is generally faster than DNA computing for deep learning.,false
fc_26,Abacus computing uses the principles of mechanical computation to perform calculations.,false
fc_27,"Abacus computing can make complex calculations quickly and efficiently.,",false
fc_28,Abacus computing doesn't need complex molecular reactions.,true
fc_29,Abacus computing doesn't need large amounts of energy.,false
fc_30,Abacus computing uses a simple and intuitive interface.,true
fc_31,Abacus computing is highly portable.,true
fc_32,The Milky Way produces about one new star per year on average.,false
fc_33,The Milky Way is a vast galaxy with billions of stars.,true
fc_34,"When two supermassive black holes merge, the result is a single, larger black hole.",false
fc_35,"During the merger, the black holes release a tremendous amount of energy.",true
fc_36,The energy of two black holes merging is released in the form of gravitational waves.,true
fc_37,The gravitational waves released from the merging of two black holes are ripples in the fabric of space-time.,true
fc_38,Gravitational waves are created by the acceleration of massive objects.,true
fc_39,The waves produced by the merging of two supermassive black holes can be detected.,true
fc_40,The waves produced by the merging of two supermassive black holes can be detected using highly sensitive instruments called gravitational wave detectors.,true
fc_41,The merging of two supermassive black holes can produce a bright burst of light.,true
fc_42,The bright burst due to the merging of two supermassive black holes of light is called a quasar.,true
fc_43,Quasars are some of the brightest objects in the universe.,true
fc_44,Quasars are thought to be powered by the accretion of matter onto a supermassive black hole.,true
fc_45,The merger of two supermassive black holes is a rare event.,true
fc_46,The merger of two supermassive black holes is likely to take place over a timescale of millions or billions of years.,true
fc_47,The strength of a neutron star’s magnetic field is not greater than that of a black hole.,false
fc_48,It is generally believed that the magnetic fields of neutron stars are weaker than those of black holes.,false
fc_49,The magnetic fields of black holes are generated by the extremely strong gravitational forces in their vicinity.,false
fc_50,The magnetic fields of neutron stars are generated by the motion of charged particles within the star.,true
fc_51,Black holes are much more massive than neutron stars.,true
fc_52,The gravitational forces of black holes are much stronger than those of neutron stars.,true
fc_53,Black holes are able to generate much stronger magnetic fields than those of neutron stars.,false
fc_54,The giant planets in our solar system rotate much faster than terrestrial planets.,true
fc_55,Jupiter and Saturn are giant planets.,true
fc_56,Earth and Mars are terrestrial planets.,true
fc_57,Giant planets are larger and more massive than terrestrial planets.,true
fc_58,"The more massive an object is, the more inertia it has.",true
fc_59,The more massive object takes the more force to change the direction of its motion.,true
fc_60,Giant planets are able to spin quickly despite their large size.,true
fc_61,Giant planets are more likely to be affected by the gravitational pull of other objects in the solar system.,true
fc_62,The gravitational pull of other objects can cause giant planets to rotate faster over time.,false
fc_63,Epigenetic inheritance refers to the transmission of traits from one generation to the next.,true
fc_64,Epigenetic inheritance is not encoded in the DNA sequence itself.,true
fc_65,Epigenetic inheritance is encoded in the way that the DNA is packaged and regulated.,true
fc_66,Epigenetic changes can be caused by various environmental factors.,true
fc_67,Diet is an environmental factor that can cause epigenetic changes.,true
fc_68,Stress is an environmental factor that can cause epigenetic changes.,true
fc_69,Exposure to toxins is an environmental factor that can cause epigenetic changes.,true
fc_70,Epigenetic changes can be passed down to future generations.,true
fc_71,Epigenetic changes can be passed down to future generations through DNA methylation.,true
fc_72,Epigenetic changes can be passed down to future generations through histone modification.,true
fc_73,Epigenetic changes can be passed down to future generations through non-coding RNA molecules.,true
fc_74,Water exhibits a phenomenon known as 'structural memory.',true
fc_75,Structural memory refers to the ability of water molecules to retain a structural arrangement.,true
fc_76,"Water retains a structural arrangement even after the substance that caused the arrangement has been removed (Fang, et al., 2010).",true
fc_77,Water's structural memory is due to the fact that water molecules are highly polar.,false
fc_78,Hydrogen atoms in water molecules have a positive charge.,true
fc_79,The oxygen atom in the water molecules has a negative charge.,true
fc_80,"When a substance is mixed with water, the substance's ions can interact with the water molecules.",true
fc_81,The interaction between substance's ions and water molecules occurs through ion-dipole and hydrogen bonding.,true
fc_82,"The interaction between substance's ions and water molecules causes the water molecules to rearrange themselves into a specific structure (Fang, et al., 2010).",true
fc_83,Genes are responsible for the production of proteins in an organism.,true
fc_84,Different types of proteins are necessary for different functions in the body.,true
fc_85,Proteins are produced through the expression of specific genes.,true
fc_86,Different types of stars are formed through the interaction of various elements in space.,true
fc_87,Different types of stars are formed through the interaction of various processes in space.,true
fc_88,The elements and processes to form stars are controlled by the laws of physics and chemistry.,true
fc_89,The laws of physics and chemistry are governed by specific sets of genes.,false
fc_90,A star's temperature is determined by the amount of mass and energy it has.,true
fc_91,A star's size is determined by the amount of mass and energy it has.,true
fc_92,A star's luminosity is determined by the amount of mass and energy it has.,true
fc_93,The type of gas and dust that make up a star determines the amount of mass and energy it has.,true
fc_94,Gases and dusts that make up a star are formed from elements.,true
fc_95,Elements in space are created through various nuclear reactions.,true
fc_96,Specific genes regulate the various nuclear reactions in space.,false
fc_97,Different types of stars that we see in the sky are the result of the expression of different genes.,false
fc_98,Different genes control the production of proteins in stars.,false
fc_99,Proteins facilitate the various processes and interactions that take place in space.,false
fc_100,"New York State Rifle & Pistol Association, Inc. v. Bruen is a case heard by the Supreme Court of the United States.",true
fc_101,"The New York State Rifle & Pistol Association, Inc. v. Bruen case dealt with the constitutionality of a New York state law regulating the possession of firearms.",true
fc_102,The New York state law imposes restrictions on the transportation of firearms outside the home.,true
fc_103,The New York state law requires a license for the transportation of firearms.,true
fc_104,The New York state law limits the reasons for which firearms could be transported.,true
fc_105,The Supreme Court held that the New York state law was constitutional.,false
fc_106,The Supreme Court found that the New York state law was consistent with the Second Amendment of the United States Constitution.,false
fc_107,The Supreme Court found that the New York state law did not unduly burden the right to keep and bear arms.,false
fc_108,"The decision on New York state rifle & pistol association, inc., ET AL. v. BRUEN was seen as a significant victory for gun control advocates.",true
fc_109,"The decision on New York state rifle & pistol association, inc., ET AL. v. BRUEN was seen as a setback for gun rights supporters.",true
fc_110,Mondeca is a software company.,true
fc_111,Mondeca specializes in developing a wide range of tools.,true
fc_112,"The tools developed by Mondeca are for knowledge management, semantic technologies, and natural language processing.",true
fc_113,Intellidimension is a tool developed by Mondeca.,false
fc_114,"Intellidimension is a platform for managing and publishing large-scale, multilingual ontologies and taxonomies.",false
fc_115,Intellicontext is a tool developed by Mondeca.,true
fc_116,Intellicontext is a tool for automatically extracting and classifying entities and concepts from unstructured text.,true
fc_117,Intellilink is a tool developed by Mondeca.,false
