claim_id,claim,label
hover_0,"The player that defeated Brad Gilber in the 1990 Thriftway ATP Championships – Singles, didnt won more events than Édouard Roger-Vasselin.",false
hover_1,Stephen Frears and John Malkovich were involved a 1988 American historical drama  starring Uma Thurman. It was a film based upon the work of the playwright who wrote Savages.,true
hover_2,"Wal-Mart Canada Corp., American corporation, founded in March, 1994, is a major tenant of this building, in which Sault Ste. Marie railway station is located, in  Sault Ste. Marie.",false
hover_3,"Retired British sprint and hurdling track and field athlete, Kriss Akabusi appeared on Bigheads a one man show performed in 1997.",false
hover_4,"The death of marathon runner Stylianos ""Stelios"" Kyriakides came before the release of an animated movie. The co-host of the 21st People's Choice Awards voiced a character in this movie as the main character's mother.",false
hover_5,"Republic New York Corporation was the holding company for the Republic National Bank of New York and the Safra Republic Bank. Republic New York Corporation was sold shortly after its chairman's death to HSBC Bank USA, the US subsidiary of the British multinational banking and financial services holding company,  HSBC Holdings PLC, which traces its origin to a hong in California.",false
hover_6,"Vernon Kay hosted the shows, one that aired two years after the similar The Moment of Truth (UK game show), and All Star Family Fortunes.",true
hover_7,Taylor Nichols was part of the ensemble cast of the 1995 American black comedy and psychological horror film from 1995 that Biff Yeager was in.,true
hover_8,Belle and Sebastian are from farther west than the band whose third album was called Legao.,false
hover_9,"Alison Nicole Mosshart was part of more rock music bands than the singer of ""I Want You So Bad"".",true
hover_10,The Philippine dance similar to Cheraw dance originated in the Spanish colonial era of the 1800s.,false
hover_11,"Martha Graham, born on May 11, 1894, was an American modern and ballet dancer and choreographer. Her style, knows as the Graham technique, is a modern dance movement style and pedagogy that reshaped American dance and is still taught worldwide.",false
hover_12,"Shani Gandi has worked with the musician, who wrote ""Love Me Like You Mean It,"" in American.",true
hover_13,The plant-type that Oenanthotoxin is extracted from and Costus are not both in the family Apiaceae.,true
hover_14,"The animal, in which the German naturalist, who the boiga kraepelini is named after, discusses in ""Scorpiones und Pedipalpi,"" has eight legs. This animal is the mascot for Satellite High School.",true
hover_15,"A director was the director of the 1988 Indian Hindi-language romantic drama film. The lead role of theif Katti Batti appeared as a child artist in the 1988 film. ""Jo Jeeta Wohi Sikandar"" was also directed by the director.",false
hover_16,"""I Will Not Say Goodbye"" is a song written in part by a music artist who first gained national attention as a winner of You Can Be a Star talent competition.",true
hover_17,"The 2002 Walt Disney film, The Rookie, stars Dennis Quaid. It features the single of the same name of the album by John Hiatt that features another single. The other single was covered on the album Voices in the Wind.",true
hover_18,A BBC sitcom featured a song as it's theme tune. The English actress who played BBC in the sitcom was born 7 December 1943. This song featured on the album All My Demons Greeting Me as a Friend.,true
hover_19,"Sameera Perera is a cricketer from Sri Lanka, located southeast of the Republic of India and northeast of the Maldives.",true
hover_20,"The author of the foreword in ""The Frankenfood Myth"" was an American agronomist that worked on The Green Revolution and  won the Nobel Peace Prize.",true
hover_21,Mariana Kovacevic used cold placenta water to heal the captian of the Ghanaian national team.,false
hover_22,"China: The Roots of Madness is a documentary film written by a Pulitzer Prize winning journalist in 1965. The thriller writer, who was author of the 1953 novel Savage Night, wrote more fictional works than that journalist.",false
hover_23,The director of the silent drama The Stealers was a silent film actor in addition to being a director. David Howard wasn't.,true
hover_24,"Cashback was a movie that starred English actress Emilia Rose Elizabeth Fox from ""Silent Witness"".",true
hover_25,Auguste von Müller played Dalila in 1877 at the Grossherzogliches (Grand Ducal) Theater in Bavaria.,false
hover_26,The director/actor of Rhubarb (1969 film) was in a British comedy film directed by Duncan Wood. Rhubarb also starred Ray Galton.,false
hover_27,The Fatima Mansions had more members than Nude when first formed.,true
hover_28,"This American football coach, who led 2013 Boise State Broncos football team, is currently serving as head coach at the University of Washington.",true
hover_29,La Valentina starred the Italian actress who was the second wife of the actor John Wayne.,false
hover_30,This man directed the film Eve's Leaves. He is not noted for directing more musical comedies than the director of the 1980 film Break of Day.,false
hover_31,Military formation Third Army were participated in by both Oscar W. Koch and General George Smith Patton Jr.,true
hover_32,The band that released the album Lost in the Former West had less members than Nude when first formed.,false
hover_33,The british director of Moongirl has more scope of profession than this director. He was the director of The Queen of the Landstrasse.,false
