claim,label,claim_id
The building was constructed with diamond.,False,creak_0
An amoeba overtakes other life forms for sustenance.,True,creak_1
Laurence Olivier starred in one of the Avengers films.,False,creak_2
The skeleton of an African elephant consists of 22 pairs of ribs.,False,creak_3
The Russian Revolution inspired the American Revolution.,False,creak_4
Celsius takes its name from the country of Celsia where the method was developed.,False,creak_5
The larynx allows people to speak.,True,creak_6
Lake Tanganyika serves a vital function in Zambia.,True,creak_7
Koalas have gills and breathe underwater.,False,creak_8
People can watch Minor League Baseball at a stadium.,True,creak_9
"Prince Philip, Duke of Edinburgh continues to serve as a member of the royal family.",False,creak_10
Lamprey live on both land and water.,False,creak_11
Androgyny focuses on people wearing whatever clothes they feel comfortable in.,True,creak_12
Disney adapted The Jungle Book into an animated film.,True,creak_13
Some women experience menopause when they age.,True,creak_14
Captain Marvel shows a woman using her swimming powers to save people.,False,creak_15
"People can use cannabis in Eugene, Oregon.",True,creak_16
The leafhopper frequently jumps on plants.,True,creak_17
Ludacris sings the song Grinding up on ya.,False,creak_18
Hip hop took most of its inspiration from techno music.,False,creak_19
The pancreas most often sits inside the human stomach.,False,creak_20
Pope John Paul II venerated Pope Pius IX as a catholic.,True,creak_21
Petro Poroshenko ruled as President of Ukraine.,True,creak_22
The Polish Armed Forces fought for Poland in World War II..,True,creak_23
Robert De Niro acted in his first film in 2015.,False,creak_24
Walt Whitman wrote many poems and essays.,True,creak_25
Many kids will eat a firefly after catching it.,False,creak_26
Aliens premiered in the movie theaters.,True,creak_27
Bowhead whale swim in controlled climates in zoos.,False,creak_28
"In today's world dessert comes at any time, not just after dinner.",True,creak_29
Koi cannot be eaten by humans.,False,creak_30
Edgar Allan Poe published some notable poems.,True,creak_31
Florence Nightingale acted in many movies and won an Oscar.,False,creak_32
Some waiting staff work in bars.,True,creak_33
You can watch Laurence Fishburne in the Matrix movies.,True,creak_34
Cytomegalovirus infects people and can make them quite ill.,True,creak_35
The classical music concert included music by Frédéric Chopin.,True,creak_36
Internet troll often leave words of encouragement for online influencers.,False,creak_37
James Watson has declared his love for God many times.,False,creak_38
The 1948 United States presidential election marked the first US presidential election after World War II.,True,creak_39
Peter Sellers spent his life as a single bachelor.,False,creak_40
Jeff Bezos unsuccessfully ran for President in 2020.,False,creak_41
Most followers of Druze live in the middle east.,True,creak_42
Unemployment resulting from the pandemic continues to negatively affect many Americans today.,True,creak_43
The butterfly emerged from its cocoon.,True,creak_44
The cricetidae create the first appearance for the hamster among other rodents.,True,creak_45
John Dryden died with no children.,False,creak_46
It is safe for someone with a nut allergy to eat just one almond.,False,creak_47
A spider monkey can bark when threatened.,True,creak_48
A butterfly can transfer pollen as they fly from one flower to the next.,True,creak_49
The butterfly can fly in the air.,True,creak_50
Bill Richardson served as a governor of a Southwestern state in the United States.,True,creak_51
Up features a talking dolphin.,False,creak_52
Nicholas II of Russia recently lost re-election to Vladimir Putin.,False,creak_53
Firewall sets up port blocking.,True,creak_54
The United States Department of Housing and Urban Development can arrest trespassers.,False,creak_55
The jaguar runs very fast compared to other large cats.,False,creak_56
The Offspring represents the children of the head of Columbia Records.,False,creak_57
The Titanic contained a Lifeboat for everyone.,False,creak_58
Adam Sandler has acted in many motion pictures.,True,creak_59
The Western Wall ceases to exist anymore.,False,creak_60
True events inspired Aliens to be made.,False,creak_61
One can purchase a diamond ring at the local jewelry store.,True,creak_62
Professional boxing need three fighters at a time.,False,creak_63
The cell membrane can be read about in science textbooks.,True,creak_64
Dave Grohl made fame as a member of Aerosmith.,False,creak_65
The Coen brothers made the movie Garfield starring Bill Murray.,False,creak_66
Medical imaging reveals cancers growing inside the body.,True,creak_67
Autumn happens between September and November.,True,creak_68
Emperor Meiji played soccer for the Chicago Fire.,False,creak_69
The concept of special relativity was discovered in mathematics.,False,creak_70
A business magnate can acquire and sell other companies.,True,creak_71
Tim McGraw contributes to many space missions with NASA.,False,creak_72
George Armstrong Custer served in World War II.,False,creak_73
Seeing a jaguar means you saw a large species of dog.,False,creak_74
Professional boxing often involves very violent fighting.,True,creak_75
Koi often are eaten in many fast-food restaurants.,False,creak_76
Jacob Zuma served as the fourth president of South Africa.,True,creak_77
Harry Houdini flies airplanes and performs stunts.,True,creak_78
The Arctic Ocean lies in one of the coldest places on earth.,True,creak_79
"A common leaf vegetable, brussels sprout are an edible mini vegetable.",True,creak_80
The Tonight Show Starring Jimmy Fallon airs on Sunday nights.,False,creak_81
Blues music comes from the Pacific Northwest region of America.,False,creak_82
An Official is a boss and makes rules over some area of expertise.,True,creak_83
The correct use of a Firewall will help prevent unwanted access to a computer.,True,creak_84
A brigadier general can command a brigade of troops.,True,creak_85
Black fly bites and feeds on blood.,True,creak_86
Germany was one of the countries fighting in the Battle of France.,True,creak_87
Celsius competes with Fahrenheit for the top method of temperature measurement.,True,creak_88
Islamophobia means people being prejudice against Muslim people.,True,creak_89
Tim McGraw father played professional soccer.,False,creak_90
Meningitis does not cause seizures in sufferers.,False,creak_91
Whole Foods Market currently operates as part of a larger business.,True,creak_92
Arcade Fire won the Juno Award for group of the year.,True,creak_93
Popeye hates to eat Spinach because it is nasty.,False,creak_94
Nobody has a birthday on March 20.,False,creak_95
"As a lawyer, John C. Calhoun fought for African American rights.",False,creak_96
Pope Pius VI had a unified alliance with Napoleon.,False,creak_97
"The Land Run of 1889 led to the settlement of Norman, Oklahoma.",True,creak_98
Sarah Vaughan sang jazz music and was a Grammy Award winner.,True,creak_99
Butlers are often yelling at the guests.,False,creak_100
Dan Brown wrote the novel Huckleberry Finn.,False,creak_101
Motion sickness can only be caused while flying in an airplane.,False,creak_102
Alcatraz Island still has many prisoners located there.,False,creak_103
A Chevrolet Camaro gets driven by a person.,True,creak_104
The Edge flies with his guitar.,True,creak_105
The firefly lights up sporadically and create a quick glow.,True,creak_106
"Dance remains a critical component of theatrical productions, especially musicals.",True,creak_107
Courage wells from the adiodactus gland located near the base of the skull.,False,creak_108
The Sound of Music delights audiences with its many different songs.,True,creak_109
California contains the San Fernando Valley.,True,creak_110
Pope Pius VI supervised the Catholic Church's legal cases surrounding child abuse in the church.,False,creak_111
The dodo bird must have been beautiful flightless bird that lived on Mauritius.,True,creak_112
Ayyubid dynasty the founding dynasty of the medieval Sultanate of Egypt.,True,creak_113
Villains are never more powerful than the heroes they face.,False,creak_114
W. B. Yeats married Maud Gonne.,False,creak_115
Elk live in the United States and Canada.,True,creak_116
The man turned on his electric lamp thanks to Alexander Graham Bell.,False,creak_117
"H. P. Lovecraft wrote the, Call of Cthulhu.",True,creak_118
The aileron works according to the desired path.,True,creak_119
The elephant used his trunk to scoop up his food.,True,creak_120
William Howard Taft served in the United States government.,True,creak_121
"Hector Berlioz sang the song someday, somewhere, somehow.",False,creak_122
Founder of Disney Walt Whitman is known for advantage in the animation world.,False,creak_123
Bigfoot participates in the ecosystem of forest.,False,creak_124
The gray fox only eats plants.,False,creak_125
Firewall stops hackers from taking information.,True,creak_126
Many people drink Popeye when they are thirsty.,False,creak_127
Fennel tastes very good in Mediterranean food.,True,creak_128
